timestamp,dx,dy,D,speed,radius,clicks,correct
1619606061319259000,5,-2,0.11872,5.38516,0.133,10,5
1619606061327296000,4,-2,0.114127,4.47214,0.133,10,5
1619606061333759000,4,-2,0.110993,4.47214,0.133,10,5
1619606061342694000,4,-2,0.107242,4.47214,0.133,10,5
1619606061350283000,3,-2,0.104114,3.60555,0.133,10,5
1619606061357871000,3,-2,0.101198,3.60555,0.133,10,5
1619606061365476000,4,-2,0.0989057,4.47214,0.133,10,5
1619606061375115000,4,-2,0.0951555,4.47214,0.133,10,5
1619606061383221000,3,-2,0.0912032,3.60555,0.133,10,5
1619606061390422000,4,-2,0.0882839,4.47214,0.133,10,5
1619606061399997000,4,-2,0.0851674,4.47214,0.133,10,5
1619606061406122000,3,-2,0.0814199,3.60555,0.133,10,5
1619606061415629000,3,-2,0.0791336,3.60555,0.133,10,5
1619606061421501000,2,-1,0.0762119,2.23607,0.133,10,5
1619606061430049000,3,-1,0.074564,3.16228,0.133,10,5
1619606061437590000,1,-1,0.0722807,1.41421,0.133,10,5
1619606061446150000,2,-1,0.0716407,2.23607,0.133,10,5
1619606061455560000,2,-2,0.0699985,2.82843,0.133,10,5
1619606061461703000,3,-2,0.0678947,3.60555,0.133,10,5
1619606061470644000,4,-3,0.0656112,5,0.133,10,5
1619606061478306000,4,-3,0.0612254,5,0.133,10,5
1619606061485863000,5,-4,0.0566592,6.40312,0.133,10,5
1619606061495069000,6,-4,0.0508103,7.2111,0.133,10,5
1619606061502318000,8,-5,0.04332,9.43398,0.133,10,5
1619606061513726000,8,-5,0.0327367,9.43398,0.133,10,5
1619606061521192000,8,-5,0.0229801,9.43398,0.133,10,5
1619606061526794000,8,-4,0.0117664,8.94427,0.133,10,5
1619606061534010000,8,-3,0.00270195,8.544,0.133,10,5
1619606061542563000,7,-3,-0.00563479,7.61577,0.133,10,5
1619606061550370000,5,-3,-0.0131296,5.83095,0.133,10,5
1619606061559090000,4,-2,-0.0175915,4.47214,0.133,10,5
1619606061566517000,3,-2,-0.0212895,3.60555,0.133,10,5
1619606061573827000,3,-3,-0.0242536,4.24264,0.133,10,5
1619606061582921000,3,-3,-0.0279294,4.24264,0.133,10,5
1619606061592652000,3,-3,-0.0308754,4.24264,0.133,10,5
1619606061599402000,3,-4,-0.0345653,5,0.133,10,5
1619606061608921000,3,-4,-0.0389634,5,0.133,10,5
1619606061614201000,2,-3,-0.0433817,3.60555,0.133,10,5
1619606061623326000,2,-2,-0.0455701,2.82843,0.133,10,5
1619606061631796000,1,-2,-0.0470425,2.23607,0.133,10,5
1619606061638849000,1,-2,-0.0492229,2.23607,0.133,10,5
1619606061647888000,1,-1,-0.0506947,1.41421,0.133,10,5
1619606061654032000,1,-1,-0.051395,1.41421,0.133,10,5
1619606061662572000,1,-2,-0.0521664,2.23607,0.133,10,5
1619606061669648000,1,-2,-0.0535583,2.23607,0.133,10,5
1619606061678722000,1,-2,-0.0550285,2.23607,0.133,10,5
1619606061686552000,1,-3,-0.0564985,3.16228,0.133,10,5
1619606061697588000,2,-4,-0.0586497,4.47214,0.133,10,5
1619606061701607000,3,-4,-0.0614525,5,0.133,10,5
1619606061710153000,3,-4,-0.0664956,5,0.133,10,5
