timestamp,dx,dy,D,speed
1618417008841925000,6,-4,0.28227,7.2111
1618417008849928000,6,-3,0.274758,6.7082
1618417008858327000,5,-4,0.267829,6.40312
1618417008865877000,5,-4,0.261181,6.40312
1618417008874333000,5,-4,0.254534,6.40312
1618417008881873000,6,-4,0.247888,7.2111
1618417008890236000,6,-4,0.240377,7.2111
1618417008898157000,6,-5,0.232865,7.81025
1618417008905782000,7,-5,0.224777,8.60233
1618417008914115000,7,-5,0.215822,8.60233
1618417008921797000,7,-4,0.206868,8.06226
1618417008929893000,8,-4,0.198487,8.94427
1618417008937875000,8,-4,0.189241,8.94427
1618417008945884000,9,-4,0.180002,9.84886
1618417008953887000,10,-4,0.169915,10.7703
1618417008961862000,11,-5,0.159003,12.083
1618417008969881000,12,-5,0.146679,13
1618417008977832000,12,-5,0.133582,13
1618417008985909000,12,-4,0.120584,12.6491
1618417008993850000,12,-4,0.108418,12.6491
1618417009001880000,11,-5,0.0965179,12.083
1618417009009841000,12,-4,0.0848913,12.6491
1618417009017811000,11,-5,0.0737891,12.083
1618417009025896000,12,-5,0.0631058,13
1618417009033815000,12,-4,0.0528628,12.6491
1618417009041743000,12,-5,0.0454506,13
1618417009050084000,12,-5,0.0400068,13
1618417009057872000,11,-4,0.0387568,11.7047
1618417009065876000,10,-4,0.0420767,10.7703
1618417009074050000,9,-4,0.0474603,9.84886
1618417009081933000,8,-4,0.0536944,8.94427
1618417009090361000,7,-4,0.0600304,8.06226
1618417009097758000,6,-4,0.0660463,7.2111
1618417009105807000,6,-3,0.0715043,6.7082
1618417009113900000,4,-3,0.077386,5
1618417009121718000,3,-2,0.0813566,3.60555
1618417009129724000,2,-2,0.084426,2.82843
1618417009137722000,1,-2,0.0865072,2.23607
1618417009145680000,1,-1,0.0875966,1.41421
1618417009226223000,-1,-1,0.0886795,1.41421
1618417009233958000,-3,1,0.0876938,3.16228
1618417009242136000,-4,1,0.0845175,4.12311
1618417009249843000,-4,1,0.0803097,4.12311
1618417009258495000,-5,1,0.0761117,5.09902
1618417009265985000,-6,1,0.0708834,6.08276
1618417009274031000,-6,1,0.0646269,6.08276
1618417009281814000,-5,1,0.0583876,5.09902
1618417009289857000,-6,1,0.0532124,6.08276
1618417009297733000,-5,1,0.0470277,5.09902
1618417009305778000,-5,1,0.0419255,5.09902
1618417009313753000,-4,1,0.0368825,4.12311
1618417009322072000,-3,1,0.0329484,3.16228
1618417009329799000,-2,0,0.0301254,2
1618417009337866000,-2,0,0.0281099,2
1618417009345894000,-1,0,0.0261052,1
1618417009361783000,-1,0,0.0251076,1
1618417009402521000,0,0,0.0241137,0
1618417009505815000,0,0,1.37631,0
1618417009529837000,-2,1,1.37631,2.23607
1618417009545780000,-2,0,1.37422,2
1618417009554626000,-3,1,1.37296,3.16228
1618417009561836000,-3,1,1.37025,3.16228
1618417009570079000,-5,1,1.36754,5.09902
1618417009577901000,-6,3,1.36358,6.7082
1618417009585876000,-8,3,1.35734,8.544
1618417009594022000,-10,4,1.34987,10.7703
1618417009601815000,-13,6,1.34034,14.3178
1618417009609792000,-15,8,1.32733,17
1618417009617932000,-17,10,1.31144,19.7231
1618417009625976000,-19,12,1.2927,22.4722
1618417009633795000,-22,13,1.27112,25.5539
1618417009641758000,-24,16,1.24698,28.8444
1618417009649726000,-26,18,1.21919,31.6228
1618417009657707000,-27,20,1.18862,33.6006
1618417009665750000,-27,22,1.15587,34.8281
1618417009673850000,-30,23,1.12148,37.8021
1618417009681785000,-30,25,1.08471,39.0512
1618417009689732000,-29,28,1.04633,40.3113
1618417009697815000,-27,30,1.00593,40.3609
1618417009705758000,-26,31,0.964871,40.4599
1618417009714200000,-26,32,0.923488,41.2311
1618417009721705000,-25,33,0.881259,41.4005
1618417009729837000,-23,32,0.838669,39.4081
1618417009737716000,-21,31,0.79802,37.4433
1618417009745736000,-19,29,0.759291,34.6699
1618417009753787000,-17,27,0.723391,31.9061
1618417009761735000,-15,25,0.690308,29.1548
1618417009769767000,-14,24,0.660031,27.7849
1618417009777751000,-12,22,0.631158,25.0599
1618417009785858000,-10,21,0.605078,23.2594
1618417009793733000,-9,20,0.580851,21.9317
