timestamp,dx,dy,D,speed,click
1618417244178012000,-4,-1,0.0328961,4.12311,0
1618417244186200000,-4,-1,0.0361795,4.12311,0
1618417244194064000,-1,0,0.0396567,1,0
1618417244202140000,-1,0,0.0406368,1,0
1618417244330271000,0,0,0.04162,0,1
1618417244370298000,-1,-1,0.39186,1.41421,1
1618417244378255000,2,-1,0.393333,2.23607,1
1618417244386269000,0,0,0.392588,0,0
1618417244394109000,3,-2,0.392588,3.60555,0
1618417244402101000,4,-2,0.391863,4.47214,0
1618417244410111000,3,-2,0.39045,3.60555,0
1618417244418377000,2,-1,0.389803,2.23607,0
1618417244426671000,2,-1,0.389136,2.23607,0
1618417244482363000,0,0,0.388483,0,1
1618417244506709000,1,0,0.388483,1,1
1618417244522225000,1,0,0.387777,1,1
1618417244538231000,2,0,0.387073,2,1
1618417244546033000,0,0,0.38567,0,0
1618417244554144000,5,0,0.38567,5,0
1618417244561964000,8,1,0.382188,8.06226,0
1618417244570341000,9,3,0.375912,9.48683,0
1618417244578091000,11,4,0.367454,11.7047,0
1618417244586177000,13,6,0.356946,14.3178,0
1618417244594032000,14,8,0.343624,16.1245,0
1618417244602048000,15,10,0.328146,18.0278,0
1618417244610031000,17,12,0.310504,20.8087,0
1618417244618031000,18,14,0.290108,22.8035,0
1618417244626137000,19,17,0.267596,25.4951,0
1618417244634067000,20,20,0.242102,28.2843,0
1618417244642190000,21,23,0.213626,31.1448,0
1618417244650040000,22,22,0.1822,31.1127,0
1618417244658077000,21,21,0.151749,29.6985,0
1618417244666021000,20,18,0.123615,26.9072,0
1618417244674072000,18,15,0.100451,23.4307,0
1618417244682320000,16,11,0.0834851,19.4165,0
1618417244690049000,13,8,0.0744314,15.2643,0
1618417244698099000,11,5,0.0714437,12.083,0
1618417244706201000,8,3,0.0730919,8.544,0
1618417244714624000,6,2,0.0760762,6.32456,0
1618417244722090000,3,0,0.0790766,3,0
1618417244730248000,2,0,0.0814141,2,0
1618417244738164000,1,0,0.0830013,1,0
1618417244745990000,1,0,0.083803,1,0
1618417244834455000,-2,1,0.08461,2.23607,0
1618417244842068000,-2,1,0.0823369,2.23607,0
1618417244850025000,-2,2,0.0800671,2.82843,0
1618417244857980000,-4,3,0.0771338,5,0
1618417244866176000,-5,4,0.0719314,6.40312,0
1618417244874000000,-6,5,0.0652627,7.81025,0
1618417244882019000,-6,5,0.057127,7.81025,0
1618417244890117000,-6,5,0.0489914,7.81025,0
1618417244898359000,-6,4,0.0408557,7.2111,0
1618417244906098000,-6,4,0.0333967,7.2111,0
1618417244914777000,-5,3,0.0259681,5.83095,0
1618417244923359000,-5,2,0.0200783,5.38516,0
1618417244930150000,-3,1,0.0151965,3.16228,0
1618417244938038000,-2,1,0.0127514,2.23607,0
1618417244954614000,-2,1,0.0110299,2.23607,0
1618417244962297000,0,0,0.00956928,0,1
1618417245018244000,0,0,0.813179,0,0
1618417245090282000,1,2,0.813179,2.23607,0
1618417245097967000,2,3,0.813007,3.60555,0
1618417245105855000,4,5,0.81321,6.40312,0
1618417245113982000,5,6,0.814188,7.81025,0
1618417245122113000,6,7,0.815614,9.21954,0
1618417245130962000,5,8,0.817529,9.43398,0
1618417245138106000,4,7,0.818143,8.06226,0
1618417245146332000,2,7,0.81843,7.28011,0
1618417245154049000,0,6,0.816945,6,0
1618417245162040000,-2,9,0.814129,9.21954,0
1618417245169948000,-7,9,0.808106,11.4018,0
1618417245178022000,-12,11,0.797454,16.2788,0
1618417245185899000,-16,14,0.781239,21.2603,0
1618417245193933000,-20,15,0.759961,25,0
1618417245201950000,-22,15,0.734509,26.6271,0
1618417245209934000,-24,15,0.707198,28.3019,0
1618417245218299000,-25,15,0.678012,29.1548,0
1618417245225990000,-27,16,0.647897,31.3847,0
1618417245233967000,-29,14,0.615482,32.2025,0
1618417245242734000,-30,13,0.58198,32.6956,0
1618417245249931000,-33,13,0.547924,35.4683,0
1618417245257947000,-35,13,0.510988,37.3363,0
1618417245266146000,-33,13,0.472136,35.4683,0
1618417245274088000,-32,13,0.435205,34.5398,0
